FID	No	Source	Id	river	station	country	x	y	area	altitude	d_start	d_end	orig_lat	orig_lon	areaold	area_1	lat	lon	newlat	newlon	newarea	lat_1min	lon_1min	area_1min	differentfromEFAS
0	1	DE	10062000	Danube	Schwabelweis	DE	0	0	35399	324.49	1991	2021	49.023585	12.13873	35440	0	49.025	12.14167	49.0229	12.1387	35338	49.025	12.1417	35440	0
1	2	DE	10088003	Danube	Hofkirchen	DE	0	0	47496	299.6	1990	2021	48.676627	13.115212	47586	0	48.675	13.10833	48.6763	13.1137	47488	48.675	13.1083	47586	0
2	95	SI	1060	Mur	Gornja_Radgona	SI	0	0	10197	202.34	1991	2021	46.6811	15.9956	10338	0	46.675	15.99167	46.6821	15.9954	10220	46.6917	15.975	10302	1
3	96	SI	2110	Draoe	Ptuj	SI	0	0	13664	214.62	2008	2021	46.4169	15.8675	13677	0	46.40833	15.875	46.4171	15.8679	13595	46.425	15.8583	13653	1
4	98	SI	3420	Saoe	Radooejica	SI	0	0	908	408.09	1991	2021	46.34	14.1654	891	0	46.34167	14.15833	46.3396	14.1662	900	46.3417	14.1583	891	0
5	99	SI	3530	Saoe	Medno	SI	0	0	2201	300.27	1991	2021	46.1225	14.4405	2182	0	46.125	14.44167	46.1229	14.4404	2162	46.125	14.4417	2182	0
6	101	SI	3725	Saoe	Hrastnik	SI	0	0	5177	193.85	1993	2021	46.122	15.0906	4531	0	46.125	15.075	46.1221	15.0904	5233	46.125	15.075	4531	0
7	102	SI	3900	Saoe	Jesenice_na_Dolenjskem	SI	0	0	10882	129.43	1991	2021	45.8605	15.6925	9910	0	45.85833	15.69167	45.8604	15.6929	10629	45.8583	15.6917	9910	0
8	103	SI	5078	Ljubljanica	Moste	SI	0	0	1762	281.29	1991	2021	46.0554	14.5444	1118	0	46.05833	14.54167	46.0554	14.5446	1826	46.0583	14.5417	1118	0
9	107	SI	7160	Krka	Podbofcje	SI	0	0	2238	146.32	1991	2021	45.8644	15.4555	1839	0	45.875	15.45833	45.8646	15.4562	1790	45.8583	15.4417	1757	1
10	155	AT	4001092	Ager	Fischerau_Ager	AT	0	0	1256	348	1990	2021	48.085815	13.838047	1235	0	48.09167	13.84167	48.0854	13.8379	1251	48.0917	13.8417	1235	0
11	156	AT	10001019	Danube	Achleiten_Donau	AT	0	0	76653	288.04	1991	2021	48.582691	13.503336	76652	0	48.59167	13.50833	48.5838	13.5029	76415	48.575	13.4917	76622	1
12	158	AT	10001016	Danube	Kienstock	AT	0	0	95970	194	1991	2021	48.382792	15.46122	95950	0	48.375	15.45833	48.3837	15.4612	95701	48.375	15.4583	95950	0
13	159	AT	10001035	Danube	Korneuburg	AT	0	0	101537	159.87	1996	2021	48.329485	16.332121	101531	0	48.325	16.325	48.3296	16.3304	101274	48.325	16.325	101531	0
14	160	AT	10001023	Danube	Linz	AT	0	0	79490	247.74	1990	2000	48.30692	14.284912	79484	0	48.30833	14.29167	48.3079	14.2846	79253	48.3083	14.2917	79484	0
15	161	AT	10001036	Danube	Wildungsmauer	AT	0	0	103993	139.48	1996	2021	48.114803	16.804302	104029	0	48.125	16.80833	48.1171	16.8046	103665	48.125	16.775	103877	1
16	163	AT	2001077	Draoe	Amlach	AT	0	0	4790	522.79	2008	2021	46.77402	13.52317	4795	0	46.775	13.525	46.7737	13.5229	4774	46.775	13.525	4795	0
17	164	AT	2001073	Draoe	Laoemuend_Ort	AT	0	0	11052	338	2008	2021	46.64062	14.942619	11063	0	46.65833	14.925	46.6396	14.9429	11008	46.6583	14.925	11063	0
18	166	AT	2001001	Draoe	Oberdrauburg-OWF	AT	0	0	2112	616.08	1990	2021	46.747615	12.97297	2113	0	46.74167	12.975	46.7479	12.9729	2105	46.7417	12.975	2113	0
19	168	AT	6001033	Enns	Admont__Enns	AT	0	0	2638	616.8	1991	2021	47.581186	14.461733	2651	0	47.575	14.45833	47.5812	14.4621	2626	47.575	14.4583	2651	0
20	169	AT	4001134	Enns	Steyr__Ortskai	AT	0	0	5915	283.97	1991	2021	48.043318	14.424931	5943	0	48.04167	14.425	48.0429	14.4246	5924	48.0417	14.425	5943	0
21	170	AT	6001025	Enns	Trautenfels	AT	0	0	1490	639.96	2010	2021	47.514579	14.08546	1520	0	47.50833	14.075	47.5138	14.0854	1513	47.5083	14.075	1520	0
22	173	AT	2001041	Gail	Federaun	AT	0	0	1305	498.54	1990	2021	46.569332	13.814816	1337	0	46.575	13.80833	46.5696	13.8146	1300	46.575	13.8083	1336	0
23	175	AT	2001062	Gurk	Gumisch	AT	0	0	2555	394.34	1990	2021	46.606288	14.478061	2326	0	46.60833	14.475	46.6063	14.4779	2317	46.6083	14.475	2325	0
24	176	AT	2001071	Gurk	Launsdorf	AT	0	0	1243	510	1990	2021	46.760439	14.476932	1004	0	46.75833	14.475	46.7604	14.4771	1013	46.7583	14.475	1004	0
25	179	AT	7001049	Inn	Innsbruck	AT	0	0	5772	568.46	1991	2021	47.275613	11.396506	5795	0	47.275	11.39167	47.2746	11.3963	5781	47.275	11.3917	5795	0
26	180	AT	7001062	Inn	Jenbach-Rotholz	AT	0	0	7231	521.67	1990	2021	47.388857	11.789238	7233	0	47.39167	11.79167	47.3888	11.7896	7206	47.3917	11.7917	7233	0
27	181	AT	7001015	Inn	Kajetansbruecke	AT	0	0	2162	967.16	1990	2021	46.951979	10.511638	2163	0	46.95833	10.50833	46.9521	10.5121	2148	46.9583	10.5083	2163	0
28	182	AT	7001081	Inn	Kirchbichl-Bichlwang	AT	0	0	9310	484	1990	2021	47.522774	12.093312	9305	0	47.525	12.09167	47.5229	12.0929	9281	47.525	12.0917	9305	0
29	183	AT	7001043	Inn	Magerbach	AT	0	0	5119	652.98	1990	2021	47.258747	10.874705	5091	0	47.25833	10.875	47.2587	10.8746	5087	47.2583	10.875	5091	0
30	184	AT	7001027	Inn	Perjen	AT	0	0	3503	768.73	2008	2021	47.146797	10.571568	3487	0	47.14167	10.575	47.1471	10.5721	3484	47.1417	10.575	3487	0
31	185	AT	7001017	Inn	Prutz	AT	0	0	2462	861.36	1990	2021	47.076753	10.660908	2452	0	47.075	10.65833	47.0771	10.6612	2449	47.075	10.6583	2451	0
32	187	AT	7001140	Isel	Lienz	AT	0	0	1199	669.29	1990	2021	46.831632	12.766335	1198	0	46.84167	12.75833	46.8312	12.7662	1196	46.8417	12.7583	1198	0
33	188	AT	3001039	Kamp	Stiefern	AT	0	0	1493	217	1990	2021	48.534688	15.690083	1493	0	48.54167	15.69167	48.5346	15.6904	1489	48.5417	15.6917	1493	0
34	189	AT	7001007	Lech	Lechaschau	AT	0	0	1012	836.09	1991	2021	47.497015	10.709677	1021	0	47.49167	10.70833	47.4971	10.7104	999	47.4917	10.7083	1021	0
35	190	AT	3001121	Leitha	Deutsch_Brodersdorf	AT	0	0	1620	193.04	1990	2010	47.937903	16.477205	1620	0	47.94167	16.475	47.9379	16.4771	1562	47.9417	16.475	1619	0
